poetryId,标题,诗文,翻译,朝代,诗人,标签
307,饮马长城窟行,塞外悲风切，交河冰已结。瀚海百重波，阴山千里雪。迥戍危烽火，层峦引高节。悠悠卷旆旌，饮马出长城。寒沙连骑迹，朔吹断边声。胡尘清玉塞，羌笛韵金钲。绝漠干戈戢，车徒振原隰。都尉反龙堆，将军旋马邑。扬麾氛雾静，纪石功名立。荒裔一戎衣，灵台凯歌入。,"塞外悲凉的风刮得急切，交河上的凌冰已经冻结，浩瀚的大海掀起了千百万的波涛，阴山之下千万里全都落满了白雪。
将士们戍边在那远远地高高的烽火台上，一层一层的山峦引领向上显出了高高的气节，众多的战旗被长风吹卷这，将士们在哪长城低下饮马也不停歇。
寒冷的沙滩上连接着骑兵的足迹，狂暴的北风吹断了那边塞上传来的声乐，胡地的灰尘清扫着像那玉（冰冻如玉）做似的边塞，羌族的笛声和那金钲敲击的声音。
与世隔绝的沙漠上干戈都 收藏起来了，可那战车却又不得不在那原野低湿的地方震颤摇曳。都尉们都从龙堆返回了，将军还从马邑凯旋而来正在捷报。
高扬着旗子让那笼罩着大雾的地方都清净下来了，在石碑记上他们的功名他们又是那样的欢悦，在那荒凉的边界上只要有一个穿着戎装的人（作者自指）去守护，灵武台上（朝廷）的凯歌是来源于国界。",唐代,李世民,冬天
307,饮马长城窟行,塞外悲风切，交河冰已结。瀚海百重波，阴山千里雪。迥戍危烽火，层峦引高节。悠悠卷旆旌，饮马出长城。寒沙连骑迹，朔吹断边声。胡尘清玉塞，羌笛韵金钲。绝漠干戈戢，车徒振原隰。都尉反龙堆，将军旋马邑。扬麾氛雾静，纪石功名立。荒裔一戎衣，灵台凯歌入。,"塞外悲凉的风刮得急切，交河上的凌冰已经冻结，浩瀚的大海掀起了千百万的波涛，阴山之下千万里全都落满了白雪。
将士们戍边在那远远地高高的烽火台上，一层一层的山峦引领向上显出了高高的气节，众多的战旗被长风吹卷这，将士们在哪长城低下饮马也不停歇。
寒冷的沙滩上连接着骑兵的足迹，狂暴的北风吹断了那边塞上传来的声乐，胡地的灰尘清扫着像那玉（冰冻如玉）做似的边塞，羌族的笛声和那金钲敲击的声音。
与世隔绝的沙漠上干戈都 收藏起来了，可那战车却又不得不在那原野低湿的地方震颤摇曳。都尉们都从龙堆返回了，将军还从马邑凯旋而来正在捷报。
高扬着旗子让那笼罩着大雾的地方都清净下来了，在石碑记上他们的功名他们又是那样的欢悦，在那荒凉的边界上只要有一个穿着戎装的人（作者自指）去守护，灵武台上（朝廷）的凯歌是来源于国界。",唐代,李世民,边塞
307,饮马长城窟行,塞外悲风切，交河冰已结。瀚海百重波，阴山千里雪。迥戍危烽火，层峦引高节。悠悠卷旆旌，饮马出长城。寒沙连骑迹，朔吹断边声。胡尘清玉塞，羌笛韵金钲。绝漠干戈戢，车徒振原隰。都尉反龙堆，将军旋马邑。扬麾氛雾静，纪石功名立。荒裔一戎衣，灵台凯歌入。,"塞外悲凉的风刮得急切，交河上的凌冰已经冻结，浩瀚的大海掀起了千百万的波涛，阴山之下千万里全都落满了白雪。
将士们戍边在那远远地高高的烽火台上，一层一层的山峦引领向上显出了高高的气节，众多的战旗被长风吹卷这，将士们在哪长城低下饮马也不停歇。
寒冷的沙滩上连接着骑兵的足迹，狂暴的北风吹断了那边塞上传来的声乐，胡地的灰尘清扫着像那玉（冰冻如玉）做似的边塞，羌族的笛声和那金钲敲击的声音。
与世隔绝的沙漠上干戈都 收藏起来了，可那战车却又不得不在那原野低湿的地方震颤摇曳。都尉们都从龙堆返回了，将军还从马邑凯旋而来正在捷报。
高扬着旗子让那笼罩着大雾的地方都清净下来了，在石碑记上他们的功名他们又是那样的欢悦，在那荒凉的边界上只要有一个穿着戎装的人（作者自指）去守护，灵武台上（朝廷）的凯歌是来源于国界。",唐代,李世民,爱国
307,饮马长城窟行,塞外悲风切，交河冰已结。瀚海百重波，阴山千里雪。迥戍危烽火，层峦引高节。悠悠卷旆旌，饮马出长城。寒沙连骑迹，朔吹断边声。胡尘清玉塞，羌笛韵金钲。绝漠干戈戢，车徒振原隰。都尉反龙堆，将军旋马邑。扬麾氛雾静，纪石功名立。荒裔一戎衣，灵台凯歌入。,"塞外悲凉的风刮得急切，交河上的凌冰已经冻结，浩瀚的大海掀起了千百万的波涛，阴山之下千万里全都落满了白雪。
将士们戍边在那远远地高高的烽火台上，一层一层的山峦引领向上显出了高高的气节，众多的战旗被长风吹卷这，将士们在哪长城低下饮马也不停歇。
寒冷的沙滩上连接着骑兵的足迹，狂暴的北风吹断了那边塞上传来的声乐，胡地的灰尘清扫着像那玉（冰冻如玉）做似的边塞，羌族的笛声和那金钲敲击的声音。
与世隔绝的沙漠上干戈都 收藏起来了，可那战车却又不得不在那原野低湿的地方震颤摇曳。都尉们都从龙堆返回了，将军还从马邑凯旋而来正在捷报。
高扬着旗子让那笼罩着大雾的地方都清净下来了，在石碑记上他们的功名他们又是那样的欢悦，在那荒凉的边界上只要有一个穿着戎装的人（作者自指）去守护，灵武台上（朝廷）的凯歌是来源于国界。",唐代,李世民,战争
341,咏雨,罩云飘远岫，喷雨泛长河。低飞昏岭腹，斜足洒岩阿。泫丛珠缔叶，起溜镜图波。濛柳添丝密，含吹织空罗。,远处的山峦笼罩着一片乌云，大雨倾盆而下，河水上涨。乌云低飞使半山腰一片昏暗，风吹雨斜撒满了山的曲折处。一串串雨滴如珍珠般滴下，又如珍珠般结在树叶上；大雨在如镜的湖面上泛起了一阵阵涟漪。柳丝在雨气中一片迷濛（或说迷濛的雨气使柳丝密密麻麻的分不出个来了），连绵的大雨如帘，风吹雨丝在空中织起了一片片罗幕。,唐代,李世民,咏物
351,咏兴国寺佛殿前幡,拂霞疑电落，腾虚状写虹。屈伸烟雾里，低举白云中。纷披乍依迥，掣曳或随风。念兹轻薄质，无翅强摇空。,"你飘拂若霞似电，你飞扬绚丽如虹。
你飘逸在烟雾里，你飞腾在白云中。
依依地你随意招摇，悠悠地又随风而去。
你这无翅的轻薄子啊，何苦如此在空中折腾？",唐代,李世民,咏物
388,赐萧瑀,疾风知劲草，板荡识诚臣。勇夫安识义，智者必怀仁。,"在猛烈狂疾的大风中才能看得出是不是强健挺拔的草，在激烈动荡的年代里才能识别出是不是忠贞不二的臣。
一勇之夫怎么懂得为公为国为民为社稷的正义的道理，而智勇兼具的人内心里必然怀有忠君为民的仁爱之情。",唐代,李世民,哲理
425,经邹鲁祭孔子而叹之,夫子何为者，栖栖一代中。地犹鄹氏邑，宅即鲁王宫。叹凤嗟身否，伤麟怨道穷。今看两楹奠，当与梦时同。,"尊敬的孔老夫子，你一生劳碌奔波，周游列国，究竟想要做成什么呢？
如今这地方还是鄹县的城邑，你终被安葬在了出生的土地，然而你的旧宅曾被后人毁坏，改建为鲁王宫。
在你生活的当时，凤鸟不至，你叹息命运不好；麒麟出现，你又忧伤哀怨，感叹世乱道穷。
你一生不如意，看今日你端坐在堂前两楹间，接受后人的顶礼祭奠，正如同你生前梦境中所见的一样，想必你也该稍感慰藉了吧。",唐代,李隆基,写人
437,幸蜀西至剑门,剑阁横云峻，銮舆出狩回。翠屏千仞合，丹嶂五丁开。灌木萦旗转，仙云拂马来。乘时方在德，嗟尔勒铭才。,"剑门山高耸入云，险峻无比；我避乱到蜀，今日得以回京。
只见那如翠色屏风的山峰，高有千仞，那如红色屏障的石壁，全凭五位大力士开出路径。
灌木丛生，好似缠绕旌旗，时隐时现；白云有如飞仙，迎面拂拭着马来。
治理国家应该顺应时势，施行仁德之政，各位大臣，你们平定叛乱，建功立业，是国家的栋梁之才。",唐代,李隆基,写景
493,宫中题,辇路生春草，上林花发时。凭高何限意，无复侍臣知。,"宫中的甬道边长起秋草的时候，御花园里的花仍然在枝头上绽放着。
现在的我想登上多高的山也不再需要和侍臣们商量了，当然政见也不再需要和他们一致了。",唐代,李昂,写景
