title,poet,dynasty,textual,translation
哀江南赋序,庾信,南北朝,粤以戊辰之年，建亥之月，大盗移国，金陵瓦解,公元548年十月，大盗篡国，金陵沦陷
哀江南赋序,庾信,南北朝,余乃窜身荒谷，公私涂炭,我逃入荒谷，公室私家均受其害，如同陷入泥途炭火
哀江南赋序,庾信,南北朝,华阳奔命，有去无归,奉命出使，却有去无归
哀江南赋序,庾信,南北朝,中兴道销，穷于甲戌,叹息梁朝的中兴之道，竟消亡于承圣三年
哀江南赋序,庾信,南北朝,三日哭于都亭，三年囚于别馆,我的心情遭遇，正如率部在都城亭内痛哭三日的罗宪，又如被囚于别馆三年的叔孙婼
哀江南赋序,庾信,南北朝,天道周星，物极不反,按照天理，岁星循环事情当能好转，而梁的灭亡却物极不反了
哀江南赋序,庾信,南北朝,傅燮之但悲身世，无处求生；袁安之每念王室，自然流涕,傅燮临危只悲叹身世，无处求生；袁安居安常念及王室，自然落泪
哀江南赋序,庾信,南北朝,昔桓君山之志事，杜元凯之平生，并有著书，咸能自序,以往桓君山的有志于事业，杜元凯的生平意趣，都有著作自叙流传至今
哀江南赋序,庾信,南北朝,潘岳之文采，始述家风；陆机之辞赋，先陈世德,以潘岳的文彩而始述家风，陆机的辞赋而先陈世德
哀江南赋序,庾信,南北朝,信年始二毛，即逢丧乱，藐是流离，至于暮齿,我刚到头发斑白之岁，即遭遇国家丧乱，流亡远方异域，直到如今暮年
哀江南赋序,庾信,南北朝,燕歌远别，悲不自胜；楚老相逢，泣将何及,想起《燕歌》所咏的远别，悲伤难忍；与故国遗老相会，哭都嫌晚
哀江南赋序,庾信,南北朝,畏南山之雨，忽践秦庭；让东海之滨，遂餐周粟,想当初自己原想象南山玄豹畏雨那样藏而远害，却忽然被任命出使西魏，如同申包胥到了秦庭；以后又想象伯夷、叔齐那样逃至海滨躲避做官，结果却不得不失节仕周，终于食了周粟
哀江南赋序,庾信,南北朝,下亭漂泊，高桥羁旅,如同孔嵩道宿下亭的旅途漂泊，梁鸿寄寓高桥的羁旅孤独
哀江南赋序,庾信,南北朝,楚歌非取乐之方，鲁酒无忘忧之用,美妙的楚歌不是取乐的良方，清薄的鲁酒也失去了忘忧的作用
哀江南赋序,庾信,南北朝,追为此赋，聊以记言，不无危苦之辞，唯以悲哀为主,我只能追述往事作成此赋，暂且用来记录肺腑之言，其中不乏有关自身的危苦之辞，但以悲哀国事为主
哀江南赋序,庾信,南北朝,日暮途远，人间何世,我年已高而归途遥远，这是什么人间世道啊
哀江南赋序,庾信,南北朝,将军一去，大树飘零；壮士不还，寒风萧瑟,冯异将军一去，大树即见飘零；荆轲壮士不回，寒风倍感萧瑟
哀江南赋序,庾信,南北朝,荆璧睨柱，受连城而见欺；载书横阶，捧珠盘而不定,我怀着蔺相如持璧睨柱之志，却不料为不守信义之徒所欺；又想象毛遂横阶逼迫楚国签约合纵那样，却手捧珠盘而未能促其定盟
哀江南赋序,庾信,南北朝,钟仪君子，入就南冠之囚；季孙行人，留守西河之馆,我只能象君子钟仪那样，做一个戴着南冠的楚囚；象行人季孙那样，留住在西河的别馆了
哀江南赋序,庾信,南北朝,申包胥之顿地，碎之以首；蔡威公之泪尽，加之以血,其悲痛惨烈不藏于申包胥求秦出兵时的叩头于地，头破脑碎；也不减于蔡威公国亡时的痛哭泪尽，继之以血
哀江南赋序,庾信,南北朝,钓台移柳，非玉关之可望；华亭鹤唳，岂河桥之可闻,那故国钓台的移柳，自非困居玉门关的人可以望见；那华亭的鹤唳，难道是魂断河桥的人再能听到的吗
哀江南赋序,庾信,南北朝,孙策以天下为三分，众才一旅；项籍用江东之子弟，人唯八千,孙策在天下分裂为三之时，军队不过五百人；项籍率领江东子弟起兵，人只有八千
哀江南赋序,庾信,南北朝,遂乃分裂山河，宰割天下,于是就剖分山河，割据天下
哀江南赋序,庾信,南北朝,岂有百万义师，一朝卷甲，芟夷斩伐，如草木焉,哪里有号称百万的义师，竟一朝卷甲溃败，让作乱者肆意戮杀，如割草摧木一般
哀江南赋序,庾信,南北朝,江淮无涯岸之阻，亭壁无藩篱之固,长江淮河失去了水岸的阻挡，军营壁垒缺少了藩篱的坚固
哀江南赋序,庾信,南北朝,头会箕敛者，合纵缔交；锄耨棘矜都，因利乘便,使得那些得逞一时的作乱者得以暗中勾结，那些持锄耰和棘矜的人得到乘虚而入的机会
哀江南赋序,庾信,南北朝,将非江表王气，终于三百年乎,莫不是江南一带的帝王之气，已经在三百年间终止了吗
哀江南赋序,庾信,南北朝,是知并吞六合，不免轵道之灾；混一车书，无救平阳之祸,于此可知并吞天下，最终不免于秦王子婴在轵道旁投降的灾难；统一车轨和文字，最终也救不了晋怀、愍二帝被害于平阳的祸患
哀江南赋序,庾信,南北朝,呜呼,呜呼
哀江南赋序,庾信,南北朝,山岳崩颓，既履危亡之运；春秋迭代，必有去故之悲,山岳崩塌，既已经历国家危亡的厄运；春秋更替，必然会有背井离乡的悲哀
哀江南赋序,庾信,南北朝,天意人事，可以凄怆伤心者矣,天意人事，真可以令人凄怆伤心的啊
